count,detect_count,time,response,tag_velK,anzenK,uv_velK,bbox_lefttop_x,bbox_lefttop_y,bbox_rightbottom_x,bbox_rightbottom_y,pure_bbox_lefttop_x,pure_bbox_lefttop_y,pure_bbox_rightbottom_x,pure_bbox_rightbottom_y,episode,reward
0.0,0.0,2.3872010707855225,-1614235850.2307253,1.0,2.0,0.0,0.0,0.0,1280.0,720.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,2.5300512313842773,0.1428520679473877,1.0,2.0,0.0,951.9907039741433,229.49364184291684,996.4979881141928,273.8787739911436,963.1175250091558,240.58992487997352,985.3711670791804,262.7824909540869,1.0,0.0
0.0,1.0,2.5488991737365723,0.018858671188354492,1.0,2.0,0.0,951.631216899075,229.76285228090728,997.1333613041135,273.79164518703493,963.0067530003346,240.77005050743918,985.7578252028538,262.78444696050303,1.0,0.0
0.0,1.0,2.5949161052703857,0.045957326889038086,1.0,2.0,0.0,951.9927896589427,229.44177391309208,996.5238501752003,273.5623341056172,963.1255547880071,240.47191396122338,985.3910850461359,262.5321940574859,1.0,0.0
0.0,1.0,2.645801067352295,0.05094575881958008,1.0,2.0,0.0,952.0490425558178,229.6908421534353,996.3848759199755,273.85483328959083,963.1330008968572,240.7318399374742,985.300917578936,262.81383550555194,1.0,0.0
0.0,1.0,2.67455792427063,0.02874159812927246,1.0,2.0,0.0,952.3498014961303,229.4636240832471,996.2085202546498,273.79100228948914,963.3144811857602,240.5454686348076,985.2438405650199,262.70915773792865,1.0,0.0
0.0,1.0,2.7414379119873047,0.06688356399536133,1.0,2.0,0.0,952.2486027137322,229.40363225310236,996.2558656226395,273.6864069867081,963.250418440959,240.47432593650382,985.2540498954127,262.6157133033067,1.0,0.0
0.0,1.0,2.8303167819976807,0.08888864517211914,1.0,2.0,0.0,952.4162146743582,229.5642618417442,996.0948884832152,273.40609616116615,963.3358831265725,240.52472042159968,985.1752200310009,262.4456375813107,1.0,0.0
0.0,1.0,2.876105785369873,0.04577970504760742,1.0,2.0,0.0,951.9710728043557,229.504858758762,996.7447149338617,273.9374291838867,963.1644833367322,240.61300136504317,985.5513044014851,262.82928657760556,1.0,0.0
0.0,1.0,2.964332342147827,0.08822202682495117,1.0,2.0,0.0,952.2131972788583,229.621810348815,996.4504237412503,273.5080952138069,963.2725038944563,240.59338156506297,985.3911171256523,262.5365239975589,1.0,0.0
