count,detect_count,time,response,tag_velK,anzenK,uv_velK,bbox_lefttop_x,bbox_lefttop_y,bbox_rightbottom_x,bbox_rightbottom_y,pure_bbox_lefttop_x,pure_bbox_lefttop_y,pure_bbox_rightbottom_x,pure_bbox_rightbottom_y,episode,reward
0.0,0.0,-1614655812.4860632,-1614655812.4861064,1.0,2.0,0.0,0,0,1280,720,0,0,0,0,0,0.0
1,1,0.19499468803405762,0.1953294277191162,1.0,2.0,0.0,951.9398811345451,229.64493884487834,996.6432508642273,273.67418366355105,963.1157235669657,240.65225004954652,985.4674084318067,262.6668724588829,1,0.0
2,2,0.2257368564605713,0.030748605728149414,1.0,2.0,0.0,952.0419105653831,229.5411528973724,996.5190128777125,273.60814804491923,963.1611861434654,240.5579016842591,985.3997372996301,262.59139925803254,1,0.0
3,3,0.2455425262451172,0.0198056697845459,1.0,2.0,0.0,952.2010873111799,229.37025844910306,996.3053316310295,273.7505806310821,963.2271483911422,240.4653389945978,985.2792705510672,262.65550008558733,1,0.0
4,4,0.276216983795166,0.030671119689941406,1.0,2.0,0.0,952.385146279093,229.55340193505975,996.1180798576125,273.449675202114,963.3183796737228,240.52747025182333,985.1848464629827,262.47560688535043,1,0.0
5,5,0.32363343238830566,0.04741334915161133,1.0,2.0,0.0,951.8405113468241,229.44851277099326,996.5296369850557,273.6557664092724,963.0127927563819,240.50032618056304,985.3573555754979,262.60395299970264,1,0.0
6,6,0.3582160472869873,0.03458738327026367,1.0,2.0,0.0,951.8793582469095,229.57796832699452,996.6859673440554,273.72086048190704,963.081010521196,240.61369136572264,985.4843150697689,262.68513744317886,1,0.0
7,7,0.3749566078186035,0.016721248626708984,1.0,2.0,0.0,951.5077665434011,229.50922395563035,996.8789930077661,273.77116250242557,962.8505731594923,240.57470859232916,985.5361863916748,262.7056778657267,1,0.0
8,8,0.4128718376159668,0.03788352012634277,1.0,2.0,0.0,951.4787340122839,229.48570413089087,996.9618016674196,273.9616155908535,962.8495009260678,240.60468199588155,985.5910347536358,262.84263772586286,1,0.0
9,9,0.43974995613098145,0.02692270278930664,1.0,2.0,0.0,951.8161768087775,229.4628669546955,996.806465470489,273.7259432259582,963.0637489742054,240.5286360225112,985.5588933050611,262.6601741581425,1,0.0
10,10,0.48447751998901367,0.04471850395202637,1.0,2.0,0.0,951.309163853976,229.55627814125089,997.1171878326826,273.7824191163327,962.7611698486526,240.61281338502135,985.665181838006,262.72588387256224,1,0.0
11,11,0.5257060527801514,0.041242361068725586,1.0,2.0,0.0,951.6881568186767,229.6631218762299,996.9001114958786,273.6435205303362,962.9911454879772,240.65822153975648,985.5971228265781,262.6484208668096,1,0.0
12,12,0.5710549354553223,0.04535222053527832,1.0,2.0,0.0,951.714182822732,229.6548547532047,996.7155952163871,273.7404912658685,962.9645359211459,240.67626388137063,985.4652421179733,262.71908213770257,1,0.0
13,13,0.6046760082244873,0.033624887466430664,1.0,2.0,0.0,952.0359214347076,229.4769292417753,996.3516909625356,273.6048367007103,963.1148638166646,240.50890610650904,985.2727485805785,262.5728598359765,1,0.0
14,14,0.6244678497314453,0.01978898048400879,1.0,2.0,0.0,951.4268142893001,229.60320036748828,997.0580724697519,273.7579639490719,962.834628834413,240.6418912628842,985.6502579246389,262.719273053676,1,0.0
15,15,0.6342134475708008,0.009749650955200195,1.0,2.0,0.0,952.5797473709787,229.37918991650182,996.1094909606749,273.700604110379,963.4621832684027,240.45954346497112,985.2270550632509,262.62025056190976,1,0.0
16,16,0.6902811527252197,0.05599403381347656,1.0,2.0,0.0,951.948486891209,229.57330156939582,996.6382670939446,273.698370328672,963.1209319418929,240.60456875921489,985.4658220432607,262.66710313885295,1,0.0
17,17,0.7253186702728271,0.03509879112243652,1.0,2.0,0.0,952.0002395957182,229.48906559637592,996.6168202217428,273.774543563743,963.1543847522244,240.56043508821767,985.4626750652367,262.70317407190123,1,0.0
18,18,0.8170604705810547,0.0917348861694336,1.0,2.0,0.0,951.6652190395862,229.55957854860995,996.9320785740608,273.7192097557231,962.9819339232049,240.59948635038825,985.6153636904421,262.67930195394484,1,0.0
19,19,0.8471968173980713,0.030153751373291016,1.0,2.0,0.0,950.8595592345134,229.48591383146308,996.3352924270825,273.71573556841554,962.2284925326558,240.5433692657012,984.9663591289402,262.65828013417746,1,0.0
20,20,0.8946194648742676,0.04733157157897949,1.0,2.0,0.0,950.6148548759667,229.7777568816095,995.8937757828668,273.4599382478112,961.9345851026917,240.6983022231599,984.5740455561418,262.5393929062608,1,0.0
21,21,0.9410214424133301,0.046486854553222656,1.0,2.0,0.0,949.8090377759313,229.51876657463853,994.6561732546343,273.67105819434425,961.020821645607,240.55683947956499,983.4443893849585,262.63298528941783,1,0.0
22,22,0.9434113502502441,0.0023567676544189453,1.0,2.0,0.0,948.3926507781972,229.47423948892546,994.3265654027126,273.5863891404672,959.876129434326,240.5022769018109,982.8430867465838,262.55835172758174,1,0.0
23,23,0.9861185550689697,0.04269599914550781,1.0,2.0,0.0,948.4067585029528,229.57771117229154,993.5720613028994,273.73660576632585,959.6980842029395,240.6174348208001,982.2807356029127,262.69688211781727,1,0.0
24,24,1.0107676982879639,0.024684667587280273,1.0,2.0,0.0,946.0247514399554,229.25025591876485,992.9394881837308,273.75628880584736,957.7534356258992,240.3767641405355,981.2108039977869,262.62978058407674,1,0.0
25,25,1.0710043907165527,0.060231685638427734,1.0,2.0,0.0,944.8821342087801,229.2110180619823,991.6948103080113,273.8652663436444,956.5853032335879,240.37458013239782,979.9916412832035,262.70170427322887,1,0.0
26,26,1.1245620250701904,0.05356144905090332,1.0,3.302106287958248,5.888125996959948,882.9961033463319,213.03110496116796,1050.9436876511243,289.9284677786245,955.2810223368165,240.41194450299855,978.6587686606397,262.5476282367939,1,1.9883222864521244
27,27,1.1575794219970703,0.03302764892578125,1.0,3.402106287958248,5.888125996959948,877.7726893025728,211.68304899910868,1053.3326622212694,291.17339992605713,953.9637792229767,240.24471104686194,977.1415723008656,262.61173787830387,1,3.7556026344590188
28,28,1.2012813091278076,0.043683528900146484,1.0,3.5021062879582483,5.888125996959948,911.8024370004262,210.64637946118935,1018.5856499588965,292.1341439664759,953.4800719705482,240.1159572024744,976.9080149887744,262.6645662251909,1,5.508851124982348
29,29,1.254723072052002,0.05345582962036133,1.0,3.6021062879582484,5.888125996959948,865.9428983107979,210.69793146456925,1061.1595583938713,292.0700526239418,951.9844204996378,240.14650143571396,975.1180362050312,262.6214826527971,1,7.274549839719164
30,30,1.3077292442321777,0.053011178970336914,1.0,3.7021062879582485,5.888125996959948,910.4106318110919,207.72151953446075,1016.0265701062458,294.9198539942413,951.9381786652004,240.10829637228142,974.4990232521372,262.53307715642063,1,9.001158008327668
31,31,1.3518970012664795,0.044145822525024414,1.0,3.7021062879582485,6.888125996959948,832.6398527931995,207.28481871633537,1004.1793754941084,295.2636216733734,949.4498762617707,239.8843170426706,972.7285925989561,262.6641233470382,1,10.748970443010219
32,32,1.3942842483520508,0.04238629341125488,1.0,3.8021062879582486,6.888125996959948,787.341478873557,205.95736910467684,1003.9003271194065,296.50624623623986,947.1597805476772,239.76463418540996,970.7913052034357,262.6989811555068,1,12.465874346284219
33,33,1.4393365383148193,0.045073509216308594,1.0,3.9021062879582487,6.888125996959948,839.4597310212368,205.524111556172,1076.8183855805428,296.8682189047176,946.5346328989392,239.84867954683682,969.7434837028404,262.54365091405276,1,14.164168761965028
34,34,1.4717881679534912,0.03245377540588379,1.0,4.002106287958249,6.888125996959948,887.7851776210649,205.75922392133748,1027.4644087965642,296.6318016275283,945.5277245009968,239.84878973191377,969.7218619166322,262.54223581695203,1,15.84800719462407
35,35,1.5333008766174316,0.06151151657104492,1.0,4.102106287958248,6.888125996959948,771.2829833386775,202.40866065883034,1002.747724561686,299.9094104019447,942.5078764121674,239.62795307902724,966.1215938651706,262.6901179817478,1,17.539696547680414
36,36,1.5743517875671387,0.04103589057922363,1.0,4.202106287958248,6.888125996959948,783.5521515657865,201.50368268707408,1003.1694645701799,300.8657397187384,940.4044870284299,239.60549569174782,964.535088776048,262.7639267140646,1,19.20114962943223
37,37,1.6405625343322754,0.06622743606567383,1.0,4.302106287958248,6.888125996959948,857.9544086165247,200.9104171905313,1046.8425844643755,301.5019439435793,940.5807264270315,239.7127595910523,964.2162666538686,262.6996015430583,1,20.85296965836631
38,38,1.6736326217651367,0.03306436538696289,1.0,4.402106287958247,6.888125996959948,760.8508180799763,199.1769748506225,1001.2507793601366,303.1944035011212,937.2122433672657,239.55760151079988,960.9209719924756,262.81377684094383,1,22.496663970016012
39,39,1.7153043746948242,0.04166722297668457,1.0,4.502106287958247,6.888125996959948,813.0843686311226,196.89796427224024,999.9257555012867,305.36943554211723,936.4409863546394,239.5477407367438,959.5175195308844,262.71965907761364,1,24.122702794061905
40,40,1.7558848857879639,0.04057645797729492,1.0,4.602106287958247,6.888125996959948,825.919045745978,197.64431953934658,1068.8700376846548,304.6118228987956,935.3193846048225,239.55523857531466,959.4696988258104,262.7009038628275,1,25.741964836708235
41,41,1.7985751628875732,0.04270672798156738,1.0,4.702106287958246,6.888125996959948,855.7761681104288,193.66195639797354,1037.2834922208856,308.4781415740991,934.7132968741646,239.35874489155418,958.3463634571497,262.78135308051844,1,27.345240651732567
42,42,1.852708339691162,0.05412626266479492,1.0,4.802106287958246,6.888125996959948,886.7364114925442,194.92279625073613,1006.1692874946625,307.17930780269955,934.6680266834267,239.5199015177566,958.2376723037801,262.582202535679,1,28.942458105923166
43,43,1.8876254558563232,0.03490734100341797,1.0,4.9021062879582455,6.888125996959948,854.4592385628349,192.909196167269,1036.7559261546317,309.2601525585393,933.9417285366512,239.49109240051285,957.2734361808155,262.6782563252954,1,30.542546023045496
44,44,1.9340510368347168,0.046439409255981445,1.0,4.9021062879582455,7.888125996959948,753.4339973609493,192.2122122172468,1001.1706152724324,309.9041471006413,930.9128966928688,239.3045082324732,954.7205731906326,262.8118510854149,1,32.126596711902536
45,45,1.9815289974212646,0.04746603965759277,1.0,5.002106287958245,7.888125996959948,800.7600365900914,190.09414137824933,1083.3394618244386,312.1170922176534,930.2472897749266,239.3482246149903,953.8522086396034,262.86300898091247,1,33.693224911926556
46,46,2.0289313793182373,0.047406911849975586,1.0,5.102106287958245,7.888125996959948,742.9149612585754,189.93068588076054,1000.5379790893227,312.25796727947983,927.1819954984983,239.21012780737786,951.2248358323625,262.97852535286245,1,35.24564481025037
47,47,2.071218967437744,0.04228353500366211,1.0,5.2021062879582445,7.888125996959948,807.433818650022,187.40294715533403,1070.1398441466504,314.67910862244855,926.6123452908489,239.28302310531515,950.9613175058234,262.79903267246743,1,36.7889893207095
48,48,2.1055831909179688,0.03435468673706055,1.0,5.302106287958244,7.888125996959948,828.8650156297467,187.67716579709892,1046.838948999499,314.4855225225137,925.7277837398327,239.4712307622744,949.9761808894131,262.6914575573382,1,38.320214250053056
49,49,2.1152377128601074,0.009677648544311523,1.0,5.402106287958244,7.888125996959948,826.2120449696955,186.65519720785642,1047.6576029942125,315.525124065272,924.6588044518518,239.23869896154227,949.2108435120562,262.9416223115861,1,39.84357348594855
50,50,2.1493005752563477,0.03404545783996582,1.0,5.502106287958243,7.888125996959948,787.8802037466909,182.59197102867586,1082.6487252006013,319.4706168193787,923.0739825167705,239.09617405075588,947.4549464305217,262.9664137972986,1,41.35584384919206
51,51,2.2012150287628174,0.05192995071411133,1.0,5.602106287958243,7.888125996959948,859.9540536888718,183.84804121719304,1010.2959488659973,318.245609055088,922.9063702590715,239.18129728102764,947.3436322957975,262.9123529912534,1,42.85103475067004
52,52,2.229982852935791,0.028715133666992188,1.0,5.702106287958243,7.888125996959948,760.2799054994795,180.32295532717552,1001.0917024958626,321.6754589931265,920.9529873349635,238.99966950785347,944.8674738315102,262.99874481244854,1,44.349391446182494
53,53,2.274216413497925,0.0442194938659668,1.0,5.802106287958242,7.888125996959948,766.0086102805974,179.84624713229755,1001.8867422690814,322.18964124096556,919.8315105266843,238.9056874239689,943.9579291001955,263.1302009492942,1,45.8247966045243
54,54,2.317162036895752,0.043012380599975586,1.0,5.702106287958243,7.888125996959948,708.153926509537,179.05355843195179,998.7749788550009,322.8811916982066,917.5898279739811,238.7818023249293,941.8165851732472,263.1529478052291,1,47.31185918408059
55,55,2.370724678039551,0.053563833236694336,1.0,5.802106287958242,7.888125996959948,787.2712248721451,180.23213670129866,1071.2354244655212,321.6581538038758,916.9290586095412,238.9390968581949,941.577590728125,262.95119364697956,1,48.78452912752367
56,56,2.381471872329712,0.010755538940429688,1.0,5.902106287958242,7.888125996959948,807.8679221028398,178.1046099728943,1048.6935306190544,323.755067364855,915.9155973787595,238.71591552930533,940.6458553431346,263.14376180844397,1,50.24670017531673
57,57,2.4200711250305176,0.0385892391204834,1.0,6.002106287958242,7.888125996959948,841.7130382994903,175.5727350192094,1014.2627017578843,326.16042267935444,915.9335145407649,238.8226605720223,940.0422255166097,262.91049712654154,1,51.700245085195135
58,58,2.4305245876312256,0.01042938232421875,1.0,6.102106287958241,7.888125996959948,839.9517123920148,173.94942819499164,1015.3870240246486,327.9390600523171,915.748450981482,238.92961655400114,939.5902854351813,262.9588716933076,1,53.14780578078242
59,59,2.4664087295532227,0.035910606384277344,1.0,6.202106287958241,7.888125996959948,803.0486257721036,170.2703277111827,1050.1467978827145,331.4277633168345,914.7507835907359,238.59852607016416,938.4446400640823,263.09956495785303,1,54.583112466433796
60,60,2.5221056938171387,0.0556790828704834,1.0,6.302106287958241,7.888125996959948,798.7241990713342,174.4067077928442,1052.235038971117,327.28948336582243,913.6465167045603,238.72580393727034,937.3127213378909,262.9703872213963,1,56.00067950099371
61,61,2.5837905406951904,0.06169557571411133,1.0,6.40210628795824,7.888125996959948,739.2754986576497,170.03563228280134,1000.6275055070813,331.51007265697444,911.1566445429503,238.72048811991593,935.3310774633969,262.82521681985986,1,57.40736165558734
62,62,2.6391468048095703,0.05535268783569336,1.0,6.50210628795824,7.888125996959948,768.7397051265505,164.25983439259767,1076.4152802112037,337.35334308744547,910.8111275327707,237.7629396424456,934.3438578049835,263.85023783759755,1,58.80193632726411
63,63,2.696653366088867,0.05750918388366699,1.0,6.6021062879582395,7.888125996959948,765.0987165441227,162.13183904651333,1076.655123269091,339.3899883802884,909.1724330849947,237.69311829861923,932.581406728219,263.8287091281825,1,60.183119247612794
64,64,2.7456886768341064,0.04902529716491699,1.0,6.702106287958239,7.888125996959948,772.4752319171677,168.48859060609686,1066.6370738705646,333.07998396301736,907.2081314563777,238.67181360065575,931.9041743313546,262.89676096845847,1,61.55274202252045
65,65,2.793813943862915,0.048130035400390625,1.0,6.802106287958239,7.888125996959948,659.7814258310038,155.77644895951266,996.2548783455982,345.56870521477094,903.9644213609762,237.57026029599032,927.6222526127916,263.77489387829326,1,62.912531956531225
66,66,2.8805596828460693,0.08672618865966797,1.0,6.902106287958238,7.888125996959948,713.7927204421794,158.44010818593645,996.371031254333,342.8835949804844,902.3750641021252,237.38185151208154,926.165168595011,263.9418516543393,1,64.25856210797484
67,67,2.908700466156006,0.0281674861907959,1.0,7.002106287958238,7.888125996959948,573.1426213463292,151.11402152791027,994.137907492885,349.9433860394357,897.9194131973157,237.32139864933333,921.9677051927273,263.73600891801266,1,65.59589662301047
68,68,2.9619944095611572,0.053302764892578125,1.0,7.102106287958238,7.888125996959948,725.3285338494283,152.55440456389857,994.0325354233934,348.3784914267576,897.9404957636943,237.14081559778322,921.6607571980612,263.79208039287295,1,66.91758544493571
69,69,2.997520923614502,0.035500288009643555,1.0,7.202106287958237,7.888125996959948,681.394584600916,157.5661418241508,997.3541056460382,343.25000890100415,895.5887961258528,237.91644579410575,920.4032293817569,262.8997049310492,1,68.23258865875148
