,count,detect_count,time,response,pixel_w,pixel_h,pure_pixel_w,pure_pixel_h,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,euler_x,euler_y,euler_z,speed_eulerx,speed_eulery,speed_eulerz
1,1.0,0.0,2.1055450439453125,-1610419840.805652,1280.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,1.0,2.219088077545166,0.06671595573425293,135.808154400969,156.8653095675878,82.44237742554742,78.43265478379388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,2.0,2.331486940383911,0.07683587074279785,147.73434183780785,156.51483186266975,81.59792689755857,78.25741593133486,-0.8025875287887718,-0.07817789356082022,1.395371427456106,0.1332104298823777,-0.0010915911914344703,0.006234219803729738,1.1263654318735625,-5.38117141768647,0.9362997740586522,-2.858021259613383,3.3204648213254804,-0.39916428208278737
4,4.0,3.0,2.3573250770568848,0.006758928298950195,162.2469858433144,156.18862211691058,81.1234929216572,78.0943110584553,-0.7664196218935724,-0.07837387834679856,1.3965584495541965,1.3085413315117969,-0.007090656187079024,0.04294601513076383,1.706719784518456,-4.424759883953882,0.9386587499009578,20.99700321500809,34.602611244550374,0.08534686285936122
5,5.0,4.0,2.4048399925231934,0.00022602081298828125,161.7564952607599,156.44350983978256,80.87824763037995,78.22175491989128,-0.7572654284114052,-0.07846556561030937,1.396838867427563,0.19344462920767874,-0.0019375173495587796,0.005925735745289195,1.2860903390374525,-4.384801093974597,1.0481647971032575,-8.888659309355235,0.8444013474467594,2.314060407212681
6,6.0,5.0,2.4957351684570312,0.0449061393737793,161.78536991857942,156.394852224767,80.89268495928971,78.19742611238351,-0.7482223026835287,-0.07847928919735797,1.3972531053222168,0.16276640624180977,-0.0002470096083880704,0.007455830591201993,1.281898487005079,-4.56718830720291,1.0328635561778952,-0.0754487675321855,-3.2827710390135416,-0.2754056585527717
7,7.0,6.0,2.553957939147949,0.0052700042724609375,162.06610723014364,156.40274412306906,81.03305361507181,78.20137206153453,-0.7394680331272703,-0.07852459256463322,1.3970662781845273,0.17112874395002473,-0.0008855916862849478,-0.003652102919965609,1.6279310671492588,-4.455539941918971,1.0390765057049836,6.764256049612491,2.1825058495548455,0.12145093796380087
8,8.0,7.0,2.60349702835083,3.4809112548828125e-05,161.1866250104959,156.02530348005874,80.59331250524797,78.01265174002938,-0.7307078562466076,-0.07866589515213761,1.3984911940574478,0.141608386896538,-0.0022841583855427484,0.023033785844319456,1.874336146688045,-3.7110274614522534,1.0247911495608517,3.9831417004403207,12.03505509300367,-0.2309229901828232
9,9.0,8.0,2.62286114692688,0.0005800724029541016,160.85643527514972,156.09144607312544,80.42821763757486,78.04572303656272,-0.7214907090718368,-0.07873856467952961,1.398780506508917,0.21296020174584407,-0.0016790137903554467,0.006684501924965905,1.4654889200578902,-3.9892336205761083,1.0297557547147635,-9.44632717862089,-6.427893430640108,0.11470613359190587
10,10.0,9.0,2.6420881748199463,1.2159347534179688e-05,160.33198554272798,156.08430557272413,80.16599277136399,78.04215278636207,-0.7121207328313436,-0.07882013493033921,1.3991503143116217,0.6256651196453898,-0.005446722534016327,0.02469332228668636,1.4254512859267237,-3.6150158669989043,1.072756833101144,-2.67344873733385,24.987789675866544,2.871327969565839
11,11.0,10.0,2.682543992996216,1.4066696166992188e-05,160.50979077367498,156.2563271434735,80.25489538683748,78.12816357173674,-0.7026838491048056,-0.07880838394032255,1.3983355162148066,0.3366832748826408,0.0004192445214510105,-0.029069860300643617,1.2910110207012002,-3.896113916931585,1.078837383557327,-4.7964762610067355,-10.028841591882092,0.2169381016023109
12,12.0,11.0,2.715684175491333,0.00039196014404296875,160.81647741252834,155.94872514566907,80.40823870626417,77.97436257283454,-0.6945542881252406,-0.0788666221110494,1.4006948518604847,0.23301863675389162,-0.001669288069051096,0.06762593665054162,2.0129645168737715,-3.622397755820551,1.1021114145994106,20.693444566158917,7.845561018599305,0.6671065016704277
13,13.0,12.0,2.754012107849121,0.007951974868774414,159.8697374292293,155.85205734424116,79.93486871461464,77.92602867212057,-0.6849615990418075,-0.07889047541121699,1.4004266037881254,0.2258103042075636,-0.0005615027152813809,-0.0063145149702754965,1.5032132671164282,-3.547547935181194,1.0454215640535298,-11.99945956516887,1.761952318213353,-1.3344696451545364
14,14.0,13.0,2.7646920680999756,0.00021791458129882812,159.50261502709867,155.8762016297538,79.75130751354934,77.93810081487689,-0.6761090686488047,-0.07892412687933255,1.4014196668980763,0.3426971087108393,-0.0013027078490677952,0.038443229386316724,1.3877638762438553,-3.3838293883339343,1.1079453011865816,-4.469250112457161,6.337834512405963,2.420404448227526
15,15.0,14.0,2.813368082046509,0.018651962280273438,159.97076145953713,156.05552834987895,79.98538072976858,78.02776417493948,-0.6661682008258828,-0.07888778367656028,1.39971201075196,0.3804984638907893,0.0013910790359602484,-0.06536255707501275,1.781718225876821,-3.220105010452149,1.1294039910847387,15.079068301541762,6.266744050438795,0.8213567154097426
16,16.0,15.0,2.8341081142425537,0.011876106262207031,158.59689024051892,155.98123381501486,79.29844512025946,77.99061690750742,-0.6576100271276316,-0.07904668507031135,1.4015180071616335,0.20785897537390108,-0.003859360893473099,0.043863629844342375,0.9527756466547428,-3.0625339209919233,1.1668778745232682,-20.13316873857202,3.8270507655675012,0.9101571537868469
17,17.0,16.0,2.8492801189422607,1.5020370483398438e-05,158.27118472686817,155.86139160361233,79.13559236343409,77.93069580180617,-0.6484379673400109,-0.0790343862210998,1.4001218228968222,0.521342806784793,0.0006990705159622232,-0.07935955938577001,1.1443125563585934,-2.641271130654211,1.097837883328846,10.88701910149611,23.94471150363361,-3.9242551425882515
18,18.0,17.0,2.9127190113067627,0.0002040863037109375,157.82650731875347,155.64526331907948,78.91325365937675,77.82263165953972,-0.6399078928335215,-0.0790704593473548,1.4016403707495488,0.2709263849918351,-0.0011457299328608873,0.04823107698102177,1.2641033709485059,-2.2959589699656675,1.1110659591314185,3.804713819015488,10.967568374448923,0.4201410849181253
19,19.0,18.0,2.94576096534729,0.0001990795135498047,158.50952979380307,156.0097333799714,79.25476489690152,78.0048666899857,-0.6299069142990906,-0.07905617089076121,1.3998772612410417,0.1866308251952187,0.000266640552786501,-0.03290183869002228,1.6699369729219877,-2.1362368195449726,1.2081631105784758,7.5733649229924485,2.9806160099578323,1.8119548438467625
20,20.0,19.0,2.9814841747283936,1.2874603271484375e-05,157.7056902532123,155.60104031577904,78.85284512660616,77.80052015788951,-0.6209621947469479,-0.07924858661012187,1.4018038715738916,0.24916400234062588,-0.005359930008947777,0.053667634707305574,1.4369579852356988,-2.106474448470014,1.1239620443927114,-6.489859932978809,0.8290602576139042,-2.3455039065106584
21,21.0,20.0,2.990159034729004,0.00019288063049316406,158.2728678939842,155.96213400306235,79.1364339469921,77.98106700153116,-0.6114332729328105,-0.07916744117978097,1.4000248675159028,0.5737961191133883,0.004886275060449181,-0.10712498688429513,1.6127474722526838,-2.1552461331044133,1.1915386268009651,10.585387035249777,-2.93684888087977,4.06920966349769
