,count,detect_count,time,response,tag_velK,anzenK,uv_velK,pixel,pixel_w,pixel_h,pure_pixel,pure_pixel_w,pure_pixel_h,episode,reward
1,1.0,1.0,0.45796799659729004,-1610443744.6802952,1.0,1.5,0.0,14123.42639564975,120.64232645636231,117.06858455484405,6277.0783980665565,80.42821763757486,78.04572303656272,1.0,0.0
2,2.0,2.0,0.6213979721069336,0.1369621753692627,1.0,1.5,0.0,13395.825889409589,116.04278290413959,115.43868178752305,5953.70039529315,77.36185526942637,76.95912119168204,1.0,0.0
3,3.0,2.0,0.6640219688415527,0.00015401840209960938,1.0,1.5,0.0,921600.0,1280.0,720.0,0.0,0.0,0.0,1.0,0.0
4,4.0,2.0,0.7200930118560791,0.013337135314941406,1.0,1.5,0.0,921600.0,1280.0,720.0,0.0,0.0,0.0,1.0,0.0
5,5.0,3.0,0.8159220218658447,0.08098912239074707,1.0,1.5,0.0,13803.282825253791,118.27926768990926,116.70078023683425,6134.792366779462,78.85284512660616,77.80052015788951,1.0,0.0
6,6.0,4.0,0.947598934173584,0.11710500717163086,1.0,1.5,0.0,13854.045630233246,117.64599051430719,117.7604571959333,6157.353613436999,78.43066034287148,78.50697146395552,1.0,0.0
7,7.0,4.0,0.9804849624633789,0.00019693374633789062,1.0,1.5,0.0,921600.0,1280.0,720.0,0.0,0.0,0.0,1.0,0.0
8,8.0,4.0,1.0118060111999512,0.013566970825195312,1.0,1.5,0.0,921600.0,1280.0,720.0,0.0,0.0,0.0,1.0,0.0
9,9.0,5.0,1.1069209575653076,0.07993793487548828,1.0,1.5,0.0,13733.682136342391,117.5475149997273,116.83515501262832,6103.858727263286,78.3650099998182,77.89010334175222,1.0,0.0
10,10.0,6.0,1.2346439361572266,0.08257579803466797,1.0,1.5,0.0,13864.66258963184,117.5317015510742,117.96530133282258,6162.072262058596,78.35446770071616,78.64353422188171,1.0,0.0
11,11.0,6.0,1.2935340404510498,0.00015497207641601562,1.0,1.5,0.0,921600.0,1280.0,720.0,0.0,0.0,0.0,1.0,0.0
12,12.0,6.0,1.312351942062378,0.0004820823669433594,1.0,1.5,0.0,921600.0,1280.0,720.0,0.0,0.0,0.0,1.0,0.0
