count,detect_count,time,response,pixel_w,pixel_h,pure_pixel_w,pure_pixel_h,pos_x,pos_y,pos_z,speed_x,speed_y,speed_z,euler_x,euler_y,euler_z,speed_eulerx,speed_eulery,speed_eulerz
1.0,1.0,437.0810830593109,-1611629796.6414962,44.50728414004902,44.385132148226546,22.25364207002451,22.192566074113273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,437.22929787635803,0.1514902114868164,44.307987634520714,43.899327463819844,22.153993817260357,21.949663731909908,1.9210643727056793,-0.4256686486772847,4.957200595664598,0.008602859579693867,-0.002215496802711492,0.02163668421775089,1.3312276539601644,2.167140433590848,-1.2136583633279003,2.6099104027504043,4.614946382087318,1.12925123472928
3.0,3.0,437.2810800075531,0.05364680290222168,44.762914303368234,44.09988758200862,22.381457151684117,22.049943791004324,1.9240023726329054,-0.4259347262524806,4.964757038071769,0.002937999927226098,-0.0002660775751958666,0.00755644240717146,2.312807633034712,1.7050368808019405,-1.5539010708465617,18.072988408972268,-8.508315502902647,-6.264596507988777
4.0,4.0,437.33254289627075,0.04870915412902832,45.07509794441103,44.127880443229856,22.537548972205514,22.063940221614928,1.9276079527949386,-0.42711425850149026,4.973574122637592,0.003605580162033162,-0.001179532249009685,0.00881708456582242,2.717228082945098,2.540736031316051,-1.648336571025138,24.089844501674822,49.779536594966,-5.625176756625154
5.0,5.0,437.3677990436554,0.03595685958862305,45.91972967391962,44.90337608085011,22.95986483695981,22.45168804042504,1.909707658088439,-0.42247387280710524,4.928707345700361,-0.017900294706499675,0.004640385694385019,-0.044866776937230846,2.8703047057256392,2.5180873757783595,-1.5097724392904373,2.109598225824193,-0.3121284143308837,1.9095969140204525
6.0,6.0,437.401643037796,0.0359041690826416,44.97226058473984,44.18813141265488,22.48613029236992,22.094065706327427,1.9160338068606588,-0.42391780578470345,4.944045573512768,0.0063261487722199305,-0.0014439329775982057,0.015338227812407013,2.6376545841209773,1.7215089038471039,-1.549770021286513,-22.089537875425464,-75.6331017800827,-3.7976687754718474
7.0,7.0,437.4465138912201,0.044922828674316406,44.85471548144483,44.12962817886458,22.427357740722414,22.064814089432275,1.9229961536750724,-0.4259769967716006,4.961800791143894,0.006962346814413545,-0.0020591909868971636,0.017755217631125753,2.205089831861222,2.274084583770537,-1.6016260461472007,-6.505321233227081,8.310160004466093,-0.7798603511605816
8.0,8.0,437.4866180419922,0.03914809226989746,44.82611103349245,44.48476731367393,22.413055516746226,22.24238365683695,1.919610520329563,-0.4252415003330819,4.95315792407551,-0.0033856333455093424,0.0007354964385187235,-0.008642867068383353,1.50331220944481,1.4946764421634553,-1.687368667273588,-30.38262478129281,-33.743545478686514,-3.712124471107456
9.0,9.0,437.5451259613037,0.059285879135131836,44.23722646239139,43.88628486499181,22.118613231195695,21.943142432495904,1.925336481348356,-0.42667207072637225,4.9677668883368575,0.005725961018792969,-0.0014305703932903646,0.014608964261347168,1.1871058640697036,2.1181279794863146,-1.2329864549329765,-9.393879895966892,18.521541228463693,13.498818072508753
10.0,10.0,437.552836894989,0.007850170135498047,44.61404261055259,43.9871745799054,22.307021305276294,21.9935872899527,1.9269645109162166,-0.42680681553312594,4.972127673357127,0.0016280295678605672,-0.00013474480675368383,0.004360785020269375,1.92451023615308,2.2596270670752485,-1.3437977654715507,14.740088869731036,2.8284469214008356,-2.2150242484936964
11.0,11.0,437.61372089385986,0.06040692329406738,45.657775784890646,44.18082647766457,22.828887892445323,22.09041323883227,1.926493795524272,-0.4264859426653697,4.9717658192564445,-0.0004707153919445428,0.0003208728677562278,-0.00036185410068245716,4.111276594202575,2.748561895934802,-1.7083749739217229,48.633633711921604,10.87389939406521,-8.108188764754741
12.0,12.0,437.7259678840637,0.1129159927368164,43.837477946050285,44.63497743844525,21.918738973025143,22.317488719222638,1.9130083462065863,-0.42407293310571165,4.935719198274464,-0.013485449317685694,0.0024130095596580636,-0.036046620981980304,-1.4594533138784935,0.8320475443374333,-1.1880486351500326,-76.04665495975284,-26.16255105276566,7.103032852776097
13.0,13.0,437.755441904068,0.02931499481201172,44.48671563462767,44.1572255961415,22.243357817313836,22.078612798070736,1.9182078017547453,-0.42487485260427993,4.949584187789549,0.005199455548158927,-0.000801919498568282,0.013864989515084858,1.0061560507637688,2.3178649772420243,-1.3410359991639027,40.662438054137205,24.50386512626101,-2.5230433098968708
14.0,14.0,437.82670187950134,0.07096505165100098,43.8938861685574,44.09011612168413,21.9469430842787,22.04505806084208,1.914713137999079,-0.42456000297401747,4.9426264186858395,-0.0034946637556663163,0.00031484963026245927,-0.006957769103709488,-0.08006302143571581,1.4865372200343985,-0.9208121785963261,-19.56091623117336,-14.97076698023689,7.5675001137858775
15.0,15.0,437.8627600669861,0.03652596473693848,45.515721506847285,44.270387028522066,22.757860753423643,22.135193514261033,1.9093381727793697,-0.423808472621495,4.9351364615161595,-0.00537496521970926,0.0007515303525224559,-0.007489957169680039,4.0548797990901395,1.3157518415604215,-1.51121011278737,63.04305404888704,-2.6038647481285624,-9.00145189210229
16.0,16.0,437.9242820739746,0.0614171028137207,44.75282306261556,44.06204221978675,22.37641153130778,22.031021109893373,1.9062071565939565,-0.4245683468924285,4.943349881366523,-0.003131016185413227,-0.0007598742709334916,0.008213419850363834,2.9350798334582753,0.6369860402837187,-1.4638319136265652,-28.892069382636826,-17.512903399654775,1.2224095904539196
